Station,Month,Entries Month,Exits Month
1 AV,1,553395,"628004	"
1 AV,2,272496,"308305	"
1 AV,3,421835,"461699	"
1 AV,4,523097,"586247	"
1 AV,5,474714,"540781	"
1 AV,6,320863,"358469	"
1 AV,7,422904,"475232	"
1 AV,8,291362,"330751	"
1 AV,9,408081,"453510	"
1 AV,10,448920,"493346	"
1 AV,11,412357,"458613	"
1 AV,12,360123,"409574	"
103 ST,1,303093,"205415	"
103 ST,2,296997,"191862	"
103 ST,3,310721,"207847	"
103 ST,4,322303,"213004	"
103 ST,5,337376,"222577	"
103 ST,6,277840,"182222	"
103 ST,7,257391,"171409	"
103 ST,8,294220,"200261	"
103 ST,9,329880,"212147	"
103 ST,10,320260,"213663	"
103 ST,11,281267,"175215	"
103 ST,12,251016,"147463	"
103 ST-CORONA,1,518099,"388386	"
103 ST-CORONA,2,363900,"270715	"
103 ST-CORONA,3,507056,"385608	"
103 ST-CORONA,4,540793,"402654	"
103 ST-CORONA,5,565547,"408181	"
103 ST-CORONA,6,382919,"276216	"
103 ST-CORONA,7,518290,"398833	"
103 ST-CORONA,8,390386,"302963	"
103 ST-CORONA,9,551420,"412263	"
103 ST-CORONA,10,582795,"430787	"
103 ST-CORONA,11,538878,"405496	"
103 ST-CORONA,12,461952,"351905	"
104 ST,1,23161,"3106	"
104 ST,2,28990,"3575	"
104 ST,3,31343,"3391	"
104 ST,4,33025,"4046	"
104 ST,5,31470,"3635	"
104 ST,6,32517,"4721	"
104 ST,7,27334,"5719	"
104 ST,8,28951,"4927	"
104 ST,9,29003,"6039	"
104 ST,10,39670,"20716	"
104 ST,11,48648,"30128	"
104 ST,12,42692,"28216	"
110 ST,1,279989,"250865	"
110 ST,2,266644,"238333	"
110 ST,3,257355,"233466	"
110 ST,4,280063,"252804	"
110 ST,5,297438,"267230	"
110 ST,6,275709,"250069	"
110 ST,7,249735,"242291	"
110 ST,8,262841,"250928	"
110 ST,9,281636,"254398	"
110 ST,10,284552,"253555	"
110 ST,11,278453,"254193	"
110 ST,12,237822,"216287	"
111 ST,1,290213,"175171	"
111 ST,2,303765,"203846	"
111 ST,3,277467,"195312	"
111 ST,4,333114,"235827	"
111 ST,5,347904,"229297	"
111 ST,6,329504,"208778	"
111 ST,7,331200,"206169	"
111 ST,8,335833,"214125	"
111 ST,9,327403,"209500	"
111 ST,10,433741,"205015	"
111 ST,11,415061,"198873	"
111 ST,12,279755,"178144	"
116 ST,1,317157,"230015	"
116 ST,2,210181,"135850	"
116 ST,3,310980,"224517	"
116 ST,4,347222,"232995	"
116 ST,5,314854,"216247	"
116 ST,6,263717,"186053	"
116 ST,7,384316,"244780	"
116 ST,8,293726,"206485	"
116 ST,9,390433,"271165	"
116 ST,10,329914,"213981	"
116 ST,11,368578,"236535	"
116 ST,12,396531,"241076	"
116 ST-COLUMBIA,1,315880,"170043	"
116 ST-COLUMBIA,2,300052,"152686	"
116 ST-COLUMBIA,3,379363,"196543	"
116 ST-COLUMBIA,4,511361,"226175	"
116 ST-COLUMBIA,5,337347,"177782	"
116 ST-COLUMBIA,6,258930,"139596	"
116 ST-COLUMBIA,7,291336,"153161	"
116 ST-COLUMBIA,8,283537,"146542	"
116 ST-COLUMBIA,9,429100,"212351	"
116 ST-COLUMBIA,10,475103,"235163	"
116 ST-COLUMBIA,11,401068,"203683	"
116 ST-COLUMBIA,12,281527,"141947	"
121 ST,1,56891,"29504	"
121 ST,2,50661,"29533	"
121 ST,3,52241,"33674	"
121 ST,4,63687,"49363	"
121 ST,5,60986,"41733	"
121 ST,6,58889,"39298	"
121 ST,7,59505,"40602	"
121 ST,8,53949,"36919	"
121 ST,9,55815,"36317	"
121 ST,10,63143,"41130	"
121 ST,11,58898,"37799	"
121 ST,12,47443,"29748	"
125 ST,1,865919,"678247	"
125 ST,2,690687,"543571	"
125 ST,3,956770,"725893	"
125 ST,4,894980,"771681	"
125 ST,5,922315,"884075	"
125 ST,6,662421,"661496	"
125 ST,7,826622,"748586	"
125 ST,8,754756,"694638	"
125 ST,9,944177,"840876	"
125 ST,10,860767,"750213	"
125 ST,11,1007245,"861686	"
125 ST,12,823461,"696116	"
135 ST,1,360698,"120304	"
135 ST,2,262199,"83804	"
135 ST,3,370889,"120651	"
135 ST,4,287650,"105951	"
135 ST,5,423016,"139223	"
135 ST,6,274065,"92096	"
135 ST,7,360901,"121838	"
135 ST,8,311040,"120096	"
135 ST,9,325442,"111607	"
135 ST,10,374444,"128827	"
135 ST,11,366225,"127853	"
135 ST,12,312738,"106526	"
137 ST CITY COL,1,320186,"280255	"
137 ST CITY COL,2,327490,"286981	"
137 ST CITY COL,3,302328,"269231	"
137 ST CITY COL,4,377028,"338269	"
137 ST CITY COL,5,374190,"335530	"
137 ST CITY COL,6,252180,"211752	"
137 ST CITY COL,7,243968,"229183	"
137 ST CITY COL,8,274941,"265808	"
137 ST CITY COL,9,360655,"330622	"
137 ST CITY COL,10,362703,"333461	"
137 ST CITY COL,11,335243,"309058	"
137 ST CITY COL,12,260269,"223370	"
138/GRAND CONC,1,78237,"70540	"
138/GRAND CONC,2,75082,"64964	"
138/GRAND CONC,3,80941,"73151	"
138/GRAND CONC,4,89192,"80980	"
138/GRAND CONC,5,97840,"86343	"
138/GRAND CONC,6,88326,"75673	"
138/GRAND CONC,7,88097,"80743	"
138/GRAND CONC,8,92344,"86041	"
138/GRAND CONC,9,105181,"87607	"
138/GRAND CONC,10,100055,"84355	"
138/GRAND CONC,11,83198,"70146	"
138/GRAND CONC,12,51414,"40433	"
14 ST,1,922207,"668818	"
14 ST,2,743706,"580517	"
14 ST,3,996395,"796733	"
14 ST,4,970677,"807368	"
14 ST,5,1127201,"952792	"
14 ST,6,733015,"618953	"
14 ST,7,1031876,"908583	"
14 ST,8,648336,"594991	"
14 ST,9,848275,"768308	"
14 ST,10,1230843,"1086720	"
14 ST,11,733766,"675023	"
14 ST,12,532437,"489274	"
14 ST-UNION SQ,1,1726710,"1563783	"
14 ST-UNION SQ,2,724069,"647639	"
14 ST-UNION SQ,3,544922,"526986	"
14 ST-UNION SQ,4,878455,"836344	"
14 ST-UNION SQ,5,592779,"560728	"
14 ST-UNION SQ,6,633938,"583778	"
14 ST-UNION SQ,7,1809566,"1711296	"
14 ST-UNION SQ,8,1635683,"1571165	"
14 ST-UNION SQ,9,766399,"744938	"
14 ST-UNION SQ,10,617429,"591826	"
14 ST-UNION SQ,11,797017,"776456	"
14 ST-UNION SQ,12,854102,"819846	"
145 ST,1,512943,"483471	"
145 ST,2,369508,"352381	"
145 ST,3,467917,"445822	"
145 ST,4,481149,"443229	"
145 ST,5,562047,"534001	"
145 ST,6,413345,"387876	"
145 ST,7,533523,"506932	"
145 ST,8,432967,"412730	"
145 ST,9,574599,"533959	"
145 ST,10,598920,"555017	"
145 ST,11,535889,"492856	"
145 ST,12,476387,"443375	"
149/GRAND CONC,1,314696,"199291	"
149/GRAND CONC,2,341862,"197729	"
149/GRAND CONC,3,344933,"200353	"
149/GRAND CONC,4,296674,"187453	"
149/GRAND CONC,5,339247,"203874	"
149/GRAND CONC,6,285130,"193693	"
149/GRAND CONC,7,278447,"200388	"
149/GRAND CONC,8,286722,"264643	"
149/GRAND CONC,9,353245,"237670	"
149/GRAND CONC,10,342739,"211603	"
149/GRAND CONC,11,337336,"222227	"
149/GRAND CONC,12,261291,"142173	"
14TH STREET,1,87827,"135185	"
14TH STREET,2,77033,"69408	"
14TH STREET,3,111178,"58670	"
14TH STREET,4,71451,"88372	"
14TH STREET,5,61226,"102690	"
14TH STREET,6,179843,"166816	"
14TH STREET,7,208950,"354643	"
14TH STREET,8,176611,"277112	"
14TH STREET,9,222459,"168442	"
14TH STREET,10,77536,"82902	"
14TH STREET,11,117623,"181198	"
14TH STREET,12,52845,"56772	"
15 ST-PROSPECT,1,164074,"97549	"
15 ST-PROSPECT,2,144488,"86519	"
15 ST-PROSPECT,3,149781,"91594	"
15 ST-PROSPECT,4,161266,"88268	"
15 ST-PROSPECT,5,178098,"109712	"
15 ST-PROSPECT,6,162601,"98974	"
15 ST-PROSPECT,7,144673,"94840	"
15 ST-PROSPECT,8,153284,"98810	"
15 ST-PROSPECT,9,168828,"105613	"
15 ST-PROSPECT,10,187228,"113350	"
15 ST-PROSPECT,11,153886,"94592	"
15 ST-PROSPECT,12,140404,"84541	"
155 ST,1,71927,"57860	"
155 ST,2,67733,"45941	"
155 ST,3,71597,"57755	"
155 ST,4,73887,"61967	"
155 ST,5,81689,"64904	"
155 ST,6,77622,"65314	"
155 ST,7,76444,"66026	"
155 ST,8,76956,"63069	"
155 ST,9,78244,"63065	"
155 ST,10,82383,"67559	"
155 ST,11,71720,"51774	"
155 ST,12,62356,"50164	"
157 ST,1,324461,"240134	"
157 ST,2,329156,"233819	"
157 ST,3,339813,"238068	"
157 ST,4,293991,"205429	"
157 ST,5,307113,"210060	"
157 ST,6,266004,"176341	"
157 ST,7,275952,"194608	"
157 ST,8,286899,"203537	"
157 ST,9,267497,"191870	"
157 ST,10,348379,"249376	"
157 ST,11,318533,"235423	"
157 ST,12,234108,"165663	"
161/YANKEE STAD,1,382322,"228234	"
161/YANKEE STAD,2,307065,"179056	"
161/YANKEE STAD,3,505285,"287234	"
161/YANKEE STAD,4,650492,"378858	"
161/YANKEE STAD,5,733081,"424639	"
161/YANKEE STAD,6,484353,"283217	"
161/YANKEE STAD,7,651319,"390718	"
161/YANKEE STAD,8,556418,"311500	"
161/YANKEE STAD,9,641688,"291299	"
161/YANKEE STAD,10,571500,"231137	"
161/YANKEE STAD,11,369582,"139644	"
161/YANKEE STAD,12,417548,"161506	"
163 ST-AMSTERDM,1,107110,"98310	"
163 ST-AMSTERDM,2,104489,"81324	"
163 ST-AMSTERDM,3,111493,"96376	"
163 ST-AMSTERDM,4,114327,"101059	"
163 ST-AMSTERDM,5,123560,"104080	"
163 ST-AMSTERDM,6,122538,"108261	"
163 ST-AMSTERDM,7,115678,"105013	"
163 ST-AMSTERDM,8,116769,"99771	"
163 ST-AMSTERDM,9,118676,"99813	"
163 ST-AMSTERDM,10,128531,"108570	"
163 ST-AMSTERDM,11,115988,"89762	"
163 ST-AMSTERDM,12,102987,"92601	"
167 ST,1,229730,"222796	"
167 ST,2,235252,"240659	"
167 ST,3,257740,"252725	"
167 ST,4,256514,"240782	"
167 ST,5,286418,"263313	"
167 ST,6,158356,"154033	"
167 ST,7,153663,"178194	"
167 ST,8,131542,"168840	"
167 ST,9,152436,"184364	"
167 ST,10,152301,"172122	"
167 ST,11,151290,"176632	"
167 ST,12,113054,"138625	"
168 ST,1,517895,"305294	"
168 ST,2,355211,"207892	"
168 ST,3,514114,"288617	"
168 ST,4,500191,"276585	"
168 ST,5,419474,"233979	"
168 ST,6,383665,"217980	"
168 ST,7,498101,"250382	"
168 ST,8,326204,"86500	"
168 ST,9,510759,"124492	"
168 ST,10,512528,"120679	"
168 ST,11,444824,"104859	"
168 ST,12,248006,"70079	"
169 ST,1,203958,"182418	"
169 ST,2,202663,"176516	"
169 ST,3,209058,"183827	"
169 ST,4,201156,"181067	"
169 ST,5,221085,"198084	"
169 ST,6,202814,"187342	"
169 ST,7,201435,"186676	"
169 ST,8,191837,"180793	"
169 ST,9,208726,"193904	"
169 ST,10,226288,"208238	"
169 ST,11,208964,"196431	"
169 ST,12,176566,"162775	"
170 ST,1,269499,"168340	"
170 ST,2,260774,"176325	"
170 ST,3,276065,"175943	"
170 ST,4,299024,"190751	"
170 ST,5,309754,"202718	"
170 ST,6,279255,"197178	"
170 ST,7,268971,"186468	"
170 ST,8,289708,"199278	"
170 ST,9,305322,"206022	"
