Station,Month,Entries Month,Exits Month	
1 AV,01,420842,482152	
1 AV,02,371827,449104	
1 AV,03,190468,258862	
1 AV,04,30892,51713	
1 AV,05,43763,69267	
1 AV,06,83009,124027	
1 AV,07,121300,172407	
1 AV,08,103818,143678	
1 AV,09,174052,235169	
1 AV,10,162199,219708	
1 AV,11,104579,142427	
103 ST,01,290578,173480	
103 ST,02,250265,149478	
103 ST,03,158091,115262	
103 ST,04,37726,30345	
103 ST,05,44955,36759	
103 ST,06,62294,51804	
103 ST,07,75111,67925	
103 ST,08,77565,72082	
103 ST,09,92847,89142	
103 ST,10,76370,84805	
103 ST,11,66820,60213	
103 ST-CORONA,01,542386,410948	
103 ST-CORONA,02,512241,380110	
103 ST-CORONA,03,283118,211502	
103 ST-CORONA,04,67499,73423	
103 ST-CORONA,05,111028,117720	
103 ST-CORONA,06,169598,166079	
103 ST-CORONA,07,199914,191026	
103 ST-CORONA,08,205089,221830	
103 ST-CORONA,09,273065,286179	
103 ST-CORONA,10,258206,267170	
103 ST-CORONA,11,179913,182811	
104 ST,01,49349,27008	
104 ST,02,46617,25239	
104 ST,03,36398,19101	
104 ST,04,7923,4919	
104 ST,05,12218,6785	
104 ST,06,17689,9791	
104 ST,07,22625,12147	
104 ST,08,19709,10827	
104 ST,09,26516,15128	
104 ST,10,22827,12493	
104 ST,11,16494,13267	
110 ST,01,276041,257545	
110 ST,02,255400,238863	
110 ST,03,165506,169840	
110 ST,04,39332,58291	
110 ST,05,47443,69191	
110 ST,06,63720,91765	
110 ST,07,76727,111038	
110 ST,08,78151,113238	
110 ST,09,104463,140644	
110 ST,10,101768,138938	
110 ST,11,66929,90392	
111 ST,01,323266,208173	
111 ST,02,490611,178946	
111 ST,03,184569,113351	
111 ST,04,42025,34326	
111 ST,05,70002,54752	
111 ST,06,105139,77802	
111 ST,07,134560,94773	
111 ST,08,137797,104191	
111 ST,09,175773,126274	
111 ST,10,166950,115568	
111 ST,11,113201,83806	
116 ST,01,399548,270416	
116 ST,02,402075,262280	
116 ST,03,238310,181856	
116 ST,04,62627,77560	
116 ST,05,70117,87266	
116 ST,06,79040,93256	
116 ST,07,100344,122554	
116 ST,08,111172,131534	
116 ST,09,116189,122220	
116 ST,10,143894,125420	
116 ST,11,107952,102866	
116 ST-COLUMBIA,01,313541,170689	
116 ST-COLUMBIA,02,375521,205451	
116 ST-COLUMBIA,03,151427,97356	
116 ST-COLUMBIA,04,15575,14722	
116 ST-COLUMBIA,05,16819,16881	
116 ST-COLUMBIA,06,25429,23879	
116 ST-COLUMBIA,07,34612,31303	
116 ST-COLUMBIA,08,34813,31848	
116 ST-COLUMBIA,09,63888,56092	
116 ST-COLUMBIA,10,54168,47171	
116 ST-COLUMBIA,11,38101,33814	
121 ST,01,55490,36062	
121 ST,02,53904,33683	
121 ST,03,37562,23559	
121 ST,04,8467,6759	
121 ST,05,10992,8719	
121 ST,06,15388,12599	
121 ST,07,17360,14296	
121 ST,08,18188,14736	
121 ST,09,26035,20082	
121 ST,10,25119,17455	
121 ST,11,16543,10296	
125 ST,01,902273,812745	
125 ST,02,841219,715712	
125 ST,03,644220,556971	
125 ST,04,169576,226697	
125 ST,05,173801,242874	
125 ST,06,233032,331855	
125 ST,07,299986,442949	
125 ST,08,230472,331568	
125 ST,09,281759,350612	
125 ST,10,299318,371191	
125 ST,11,166560,210939	
135 ST,01,352809,121543	
135 ST,02,335579,115181	
135 ST,03,202888,81775	
135 ST,04,49381,32402	
135 ST,05,57129,36359	
135 ST,06,73071,42016	
135 ST,07,88928,48596	
135 ST,08,72489,40927	
135 ST,09,127021,70519	
135 ST,10,103763,54096	
135 ST,11,67173,31938	
137 ST CITY COL,01,312878,329772	
137 ST CITY COL,02,362220,370322	
137 ST CITY COL,03,195737,198222	
137 ST CITY COL,04,34815,49237	
137 ST CITY COL,05,40468,55862	
137 ST CITY COL,06,64939,83790	
137 ST CITY COL,07,81976,104020	
137 ST CITY COL,08,87239,113400	
137 ST CITY COL,09,119010,145204	
137 ST CITY COL,10,113793,141673	
137 ST CITY COL,11,74839,92898	
138/GRAND CONC,01,57833,47291	
138/GRAND CONC,02,49851,34928	
138/GRAND CONC,03,35290,23737	
138/GRAND CONC,04,15743,18852	
138/GRAND CONC,05,13154,15497	
138/GRAND CONC,06,14193,16906	
138/GRAND CONC,07,15378,21588	
138/GRAND CONC,08,19950,29010	
138/GRAND CONC,09,33298,40069	
138/GRAND CONC,10,31927,37782	
138/GRAND CONC,11,22423,27001	
14 ST,01,746757,667009	
14 ST,02,734149,666136	
14 ST,03,436894,412908	
14 ST,04,47781,65982	
14 ST,05,62219,86925	
14 ST,06,118849,147040	
14 ST,07,153768,183447	
14 ST,08,183494,220397	
14 ST,09,268949,305616	
14 ST,10,187033,220155	
14 ST,11,136519,157542	
14 ST-UNION SQ,01,2474920,2394347	
14 ST-UNION SQ,02,2235638,2193338	
14 ST-UNION SQ,03,1211728,1214988	
14 ST-UNION SQ,04,163299,200911	
14 ST-UNION SQ,05,215508,264674	
14 ST-UNION SQ,06,328965,397375	
14 ST-UNION SQ,07,461792,556586	
14 ST-UNION SQ,08,369765,450586	
14 ST-UNION SQ,09,488921,584531	
14 ST-UNION SQ,10,630359,751472	
14 ST-UNION SQ,11,409397,494449	
