Station,Date,Daily_Entry,Daily_Exit	
1 AV,01/01/2020,6109,7588	
1 AV,01/02/2020,15692,18063	
1 AV,01/03/2020,16526,18918	
1 AV,01/04/2020,6877,7765	
1 AV,01/05/2020,5021,5782	
1 AV,01/06/2020,16711,18927	
1 AV,01/07/2020,17057,19701	
1 AV,01/08/2020,17668,20563	
1 AV,01/09/2020,18034,20474	
1 AV,01/10/2020,18710,21325	
1 AV,01/11/2020,8015,8974	
1 AV,01/12/2020,5329,6222	
1 AV,01/13/2020,16637,19261	
1 AV,01/14/2020,17533,20327	
1 AV,01/15/2020,17898,20211	
1 AV,01/16/2020,18192,20696	
1 AV,01/17/2020,19065,22080	
1 AV,01/18/2020,5744,6568	
1 AV,01/19/2020,4631,5372	
1 AV,01/20/2020,10533,13338	
1 AV,01/21/2020,17239,19545	
1 AV,01/22/2020,17112,19213	
1 AV,01/23/2020,17634,19303	
1 AV,01/24/2020,17785,20762	
1 AV,01/25/2020,-292076,-645360	
1 AV,01/26/2020,304387,659287	
1 AV,01/27/2020,16405,18844	
1 AV,01/28/2020,17691,19973	
1 AV,01/29/2020,18027,20134	
1 AV,01/30/2020,18177,20496	
1 AV,01/31/2020,18790,21727	
1 AV,02/01/2020,7341,8201	
1 AV,02/02/2020,5599,6587	
1 AV,02/03/2020,16988,19439	
1 AV,02/04/2020,18022,20017	
1 AV,02/05/2020,18276,20377	
1 AV,02/06/2020,18491,20711	
1 AV,02/07/2020,19423,22207	
1 AV,02/08/2020,7052,8153	
1 AV,02/09/2020,5350,6222	
1 AV,02/10/2020,17636,20399	
1 AV,02/11/2020,18234,20770	
1 AV,02/12/2020,18512,19547	
1 AV,02/13/2020,18922,21238	
1 AV,02/14/2020,19904,23429	
1 AV,02/15/2020,-456680060,-445175769	
1 AV,02/16/2020,4172,5327	
1 AV,02/17/2020,5991,7114	
1 AV,02/18/2020,14106,18349	
1 AV,02/19/2020,14329,18007	
1 AV,02/20/2020,14874,19004	
1 AV,02/21/2020,15013,19806	
1 AV,02/22/2020,15461789,17301264	
1 AV,02/23/2020,4533,6070	
1 AV,02/24/2020,15028,20672	
1 AV,02/25/2020,16014,21689	
1 AV,02/26/2020,16528,20926	
1 AV,02/27/2020,16876,22532	
1 AV,02/28/2020,17870,23570	
1 AV,02/29/2020,6743,8741	
1 AV,03/01/2020,4490,5958	
1 AV,03/02/2020,15202,19854	
1 AV,03/03/2020,15860,21302	
1 AV,03/04/2020,14699,18399	
1 AV,03/05/2020,16222,20977	
1 AV,03/06/2020,16820,23273	
1 AV,03/07/2020,-15444195,-17278338	
1 AV,03/09/2020,14719,18441	
1 AV,03/10/2020,14648,18410	
1 AV,03/11/2020,14013,17962	
1 AV,03/12/2020,12710,16790	
1 AV,03/13/2020,10542,14309	
1 AV,03/14/2020,2941,4455	
1 AV,03/15/2020,1977,2890	
1 AV,03/16/2020,5279,7544	
1 AV,03/17/2020,4472,6631	
1 AV,03/18/2020,4055,6044	
1 AV,03/19/2020,3518,5308	
1 AV,03/20/2020,3323,5085	
1 AV,03/21/2020,9,361	
1 AV,03/22/2020,16,194	
1 AV,03/23/2020,2030,3395	
1 AV,03/24/2020,2274,3582	
1 AV,03/25/2020,2167,3485	
1 AV,03/26/2020,2095,3175	
1 AV,03/27/2020,1935,3070	
1 AV,03/28/2020,572,1254	
1 AV,03/29/2020,514,1069	
1 AV,03/30/2020,1715,2932	
1 AV,03/31/2020,1651,2713	
1 AV,04/01/2020,1633,2552	
1 AV,04/02/2020,1525,2317	
1 AV,04/03/2020,1483,2420	
1 AV,04/04/2020,669,1206	
1 AV,04/05/2020,502,962	
1 AV,04/06/2020,1424,2167	
1 AV,04/07/2020,1393,2231	
1 AV,04/08/2020,1438,2369	
1 AV,04/09/2020,1325,2228	
1 AV,04/10/2020,1270,2171	
1 AV,04/11/2020,593,1177	
1 AV,04/12/2020,474,918	
1 AV,04/13/2020,1212,2105	
1 AV,04/14/2020,1529,2360	
1 AV,04/15/2020,1485,2412	
1 AV,04/16/2020,1414,2302	
1 AV,04/17/2020,1433,2351	
1 AV,04/18/2020,610,1309	
1 AV,04/19/2020,531,1026	
1 AV,04/20/2020,1427,2425	
1 AV,04/21/2020,960368876,1022132479	
1 AV,04/22/2020,1655,2727	
1 AV,04/23/2020,1522,2498	
1 AV,04/24/2020,1529,2484	
1 AV,04/25/2020,699,1303	
1 AV,04/26/2020,510,1090	
1 AV,04/27/2020,1607,2603	
1 AV,04/28/2020,-779461,-86573	
1 AV,04/29/2020,-955726292,-998950605	
1 AV,04/30/2020,-301394,-4988839	
1 AV,05/01/2020,304659,4994067	
1 AV,05/02/2020,904,1483	
1 AV,05/03/2020,713,1115	
1 AV,05/04/2020,1680,2721	
1 AV,05/05/2020,1751,2837	
1 AV,05/06/2020,1715,2841	
1 AV,05/07/2020,1747,2756	
1 AV,05/08/2020,1620,2807	
1 AV,05/09/2020,-677,1180	
1 AV,05/10/2020,770,1286	
1 AV,05/11/2020,456687015,445185731	
1 AV,05/12/2020,1799,2929	
1 AV,05/13/2020,1606,2823	
1 AV,05/14/2020,1882,2966	
1 AV,05/15/2020,1785,3034	
1 AV,05/16/2020,984,1598	
1 AV,05/17/2020,777,1332	
1 AV,05/18/2020,1888,2959	
1 AV,05/19/2020,2002,2842	
1 AV,05/20/2020,1981,3011	
1 AV,05/21/2020,2041,2973	
1 AV,05/22/2020,2003,3092	
1 AV,05/23/2020,993,1553	
1 AV,05/24/2020,951,1388	
1 AV,05/25/2020,1239,1809	
1 AV,05/26/2020,2110,3195	
1 AV,05/27/2020,2229,3510	
1 AV,05/28/2020,2064,3294	
1 AV,05/29/2020,2121,3350	
1 AV,05/30/2020,1335,2093	
1 AV,05/31/2020,1073,1670	
1 AV,06/01/2020,2260,3714	
1 AV,06/02/2020,2346,3650	
1 AV,06/03/2020,2306,3656	
1 AV,06/04/2020,2420,3716	
1 AV,06/05/2020,2310,3609	
1 AV,06/06/2020,1650,2633	
1 AV,06/07/2020,1290,2225	
1 AV,06/08/2020,2635,3979	
1 AV,06/09/2020,2843,4259	
1 AV,06/10/2020,2948,4486	
1 AV,06/11/2020,2788,4262	
1 AV,06/12/2020,3081,4508	
1 AV,06/13/2020,1928,3055	
1 AV,06/14/2020,1512,2309	
1 AV,06/15/2020,2986,4415	
1 AV,06/16/2020,3197,4697	
1 AV,06/17/2020,3331,4910	
1 AV,06/18/2020,3232,4937	
1 AV,06/19/2020,3369,5073	
1 AV,06/20/2020,2093,2943	
1 AV,06/21/2020,1696,2491	
1 AV,06/22/2020,3519,5038	
1 AV,06/23/2020,3737,5349	
1 AV,06/24/2020,3787,5367	
1 AV,06/25/2020,3869,5431	
1 AV,06/26/2020,3984,5708	
1 AV,06/27/2020,2287,3471	
1 AV,06/28/2020,2097,3122	
1 AV,06/29/2020,3739,5551	
1 AV,06/30/2020,3769,5463	
1 AV,07/01/2020,3953,5628	
1 AV,07/02/2020,4187,5984	
1 AV,07/03/2020,2929,4109	
1 AV,07/04/2020,2327,3162	
1 AV,07/05/2020,1961,3021	
1 AV,07/06/2020,3776,5566	
1 AV,07/07/2020,4084,5944	
1 AV,07/08/2020,4152,5902	
1 AV,07/09/2020,4453,6466	
1 AV,07/10/2020,3876,5685	
1 AV,07/11/2020,2770,4030	
1 AV,07/12/2020,2617,3658	
1 AV,07/13/2020,4106,5653	
1 AV,07/14/2020,4374,6259	
1 AV,07/15/2020,4497,6383	
1 AV,07/16/2020,4486,6417	
1 AV,07/17/2020,4527,6516	
1 AV,07/18/2020,3322,4929	
1 AV,07/19/2020,2559,3856	
1 AV,07/20/2020,4140,6019	
1 AV,07/21/2020,4580,6518	
1 AV,07/22/2020,4486,6565	
1 AV,07/23/2020,4522,6540	
1 AV,07/24/2020,4684,6644	
1 AV,07/25/2020,3667,5136	
1 AV,07/26/2020,2754,3804	
1 AV,07/27/2020,4296,5956	
1 AV,07/28/2020,4663,6583	
1 AV,07/29/2020,4927,6917	
1 AV,07/30/2020,4755,6665	
1 AV,07/31/2020,4870,5892	
1 AV,08/01/2020,3600,4717	
1 AV,08/02/2020,2459,2897	
1 AV,08/03/2020,4684,5994	
1 AV,08/04/2020,-456453564,-445215825	
1 AV,08/05/2020,456725034,445295466	
1 AV,08/06/2020,5201,7147	
1 AV,08/07/2020,36250,51263	
1 AV,08/15/2020,3842,5427	
1 AV,08/16/2020,2474,3588	
1 AV,08/17/2020,4987,7060	
1 AV,08/18/2020,5381,7510	
1 AV,08/19/2020,-3971419,-23174771	
1 AV,08/20/2020,-366885239,-364876590	
1 AV,08/21/2020,370873116,388074034	
1 AV,08/22/2020,4106,5619	
1 AV,08/23/2020,3143,4490	
1 AV,08/24/2020,4275,6762	
1 AV,08/25/2020,5169,6509	
1 AV,08/26/2020,5578,6954	
1 AV,08/27/2020,-61148939,-38203375	
1 AV,08/28/2020,61159915,38217319	
1 AV,08/29/2020,3620,5154	
1 AV,08/30/2020,3708,5116	
1 AV,08/31/2020,5341,7471	
1 AV,09/01/2020,5633,7728	
1 AV,09/02/2020,5834,7788	
1 AV,09/03/2020,5927,8104	
1 AV,09/04/2020,6149,8448	
1 AV,09/05/2020,4183,5569	
1 AV,09/06/2020,3403,4597	
1 AV,09/07/2020,3433,4839	
1 AV,09/08/2020,5765,7929	
1 AV,09/09/2020,6218,8317	
1 AV,09/10/2020,5900,7906	
1 AV,09/11/2020,6583,9052	
1 AV,09/12/2020,4818,6542	
1 AV,09/13/2020,3608,4908	
1 AV,09/14/2020,5813,6598	
1 AV,09/15/2020,6264,8481	
1 AV,09/16/2020,6258,8477	
1 AV,09/17/2020,6292,8245	
1 AV,09/18/2020,531014,9239	
1 AV,09/19/2020,5028,6748	
1 AV,09/20/2020,3556,4959	
1 AV,09/21/2020,5775,7959	
1 AV,09/22/2020,6396,8432	
1 AV,09/23/2020,6433,8677	
1 AV,09/24/2020,6458,8955	
1 AV,09/25/2020,48325,65911	
1 AV,10/03/2020,5331,7089	
1 AV,10/04/2020,3904,5240	
1 AV,10/05/2020,6281,8360	
1 AV,10/06/2020,6627,8843	
1 AV,10/07/2020,6630,9048	
1 AV,10/08/2020,6983,9235	
1 AV,10/09/2020,7182,9839	
1 AV,10/10/2020,5333,7634	
1 AV,10/11/2020,3878,5337	
1 AV,10/12/2020,5002,6855	
1 AV,10/13/2020,6475,8872	
1 AV,10/14/2020,6997,9349	
1 AV,10/15/2020,7104,9660	
1 AV,10/16/2020,6731,9016	
1 AV,10/17/2020,5722,7770	
1 AV,10/18/2020,4175,5727	
1 AV,10/19/2020,6366,8453	
1 AV,10/20/2020,6953,9236	
1 AV,10/21/2020,7025,9448	
1 AV,10/22/2020,7156,9426	
1 AV,10/23/2020,7569,10123	
1 AV,10/24/2020,5564,7846	
1 AV,10/25/2020,-447545,-497573	
1 AV,10/26/2020,-268921,-853455	
1 AV,10/27/2020,734131,1375056	
1 AV,10/28/2020,7160,9573	
1 AV,10/29/2020,6585,9453	
1 AV,10/30/2020,7401,9951	
1 AV,10/31/2020,6065,8325	
1 AV,11/01/2020,3969,5511	
1 AV,11/02/2020,6835,9148	
1 AV,11/03/2020,6170,8170	
1 AV,11/04/2020,-191862,-93991	
1 AV,11/05/2020,7110,9363	
1 AV,11/06/2020,7280,9658	
1 AV,11/07/2020,5797,8402	
1 AV,11/08/2020,4289,6000	
1 AV,11/09/2020,6547,8708	
1 AV,11/10/2020,7153,9505	
1 AV,11/11/2020,5971,8378	
1 AV,11/12/2020,7055,9440	
1 AV,11/13/2020,205723,114057	
1 AV,11/14/2020,5742,7823	
1 AV,11/15/2020,3722,5304	
1 AV,11/16/2020,6572,8838	
1 AV,11/17/2020,6890,9404	
1 AV,11/18/2020,6808,9474	
1 AV,11/19/2020,6669,9301	
103 ST,01/01/2020,5367,4219	
103 ST,01/02/2020,9914,5937	
103 ST,01/03/2020,10322,5851	
103 ST,01/04/2020,7080,4332	
103 ST,01/05/2020,5460,3769	
103 ST,01/06/2020,10523,6216	
103 ST,01/07/2020,10905,6485	
103 ST,01/08/2020,10914,6435	
103 ST,01/09/2020,11100,6457	
103 ST,01/10/2020,11150,6357	
103 ST,01/11/2020,6999,4282	
103 ST,01/12/2020,5848,3693	
103 ST,01/13/2020,11333,5417	
103 ST,01/14/2020,11156,6426	
103 ST,01/15/2020,11002,6489	
103 ST,01/16/2020,11172,6832	
103 ST,01/17/2020,10929,6426	
103 ST,01/18/2020,6175,4270	
103 ST,01/19/2020,5307,3960	
103 ST,01/20/2020,6958,4745	
103 ST,01/21/2020,10924,6157	
103 ST,01/22/2020,10805,6373	
103 ST,01/23/2020,11094,6377	
103 ST,01/24/2020,11147,6259	
103 ST,01/25/2020,6109,4136	
103 ST,01/26/2020,5312,3842	
103 ST,01/27/2020,10391,6004	
103 ST,01/28/2020,11103,6388	
103 ST,01/29/2020,11290,6583	
103 ST,01/30/2020,11445,6316	
103 ST,01/31/2020,11344,6447	
103 ST,02/01/2020,6850,4275	
103 ST,02/02/2020,6018,4076	
103 ST,02/03/2020,10550,6052	
103 ST,02/04/2020,10842,6150	
103 ST,02/05/2020,11426,6654	
103 ST,02/06/2020,11172,6396	
103 ST,02/07/2020,11293,6356	
103 ST,02/08/2020,7038,4574	
103 ST,02/09/2020,5419,3791	
103 ST,02/10/2020,10581,6202	
103 ST,02/11/2020,11087,6154	
103 ST,02/12/2020,11403,6565	
103 ST,02/13/2020,-11041809,-6096848	
103 ST,02/14/2020,11931,6460	
103 ST,02/15/2020,6641,4238	
103 ST,02/16/2020,5753,3737	
103 ST,02/17/2020,7005,4293	
103 ST,02/18/2020,10252,5789	
103 ST,02/19/2020,10710,6142	
103 ST,02/20/2020,11061637,6109948	
103 ST,02/21/2020,10291,5985	
103 ST,02/22/2020,6604,4384	
103 ST,02/23/2020,5486,4075	
103 ST,02/24/2020,10477,6080	
103 ST,02/25/2020,11202,6516	
103 ST,02/26/2020,11161,6611	
103 ST,02/27/2020,11252,6572	
103 ST,02/28/2020,11143,6537	
103 ST,02/29/2020,6678,4814	
103 ST,03/01/2020,5315,4087	
103 ST,03/02/2020,-7589509,-3461542	
103 ST,03/03/2020,11438,8184	
103 ST,03/04/2020,11560,8225	
103 ST,03/05/2020,11431,8084	
103 ST,03/06/2020,10955,8107	
103 ST,03/07/2020,6649,5261	
103 ST,03/08/2020,5331,4159	
103 ST,03/09/2020,10512,7359	
103 ST,03/10/2020,10346,7315	
103 ST,03/11/2020,10242,7079	
103 ST,03/12/2020,9410,6672	
103 ST,03/13/2020,8046,5617	
103 ST,03/14/2020,4232,3020	
103 ST,03/15/2020,3056,2292	
103 ST,03/16/2020,4959,3575	
103 ST,03/17/2020,4329,3057	
103 ST,03/18/2020,4109,2939	
103 ST,03/19/2020,3629,2546	
103 ST,03/20/2020,3363,2453	
103 ST,03/21/2020,1869,1315	
103 ST,03/22/2020,1267,998	
103 ST,03/23/2020,2038,1579	
103 ST,03/24/2020,2136,1556	
103 ST,03/25/2020,1964,1445	
103 ST,03/26/2020,1968,1440	
103 ST,03/27/2020,2233,2308	
103 ST,03/28/2020,1236,1189	
103 ST,03/29/2020,913,772	
103 ST,03/30/2020,1741,1338	
103 ST,03/31/2020,1814,1291	
103 ST,04/01/2020,1579,1311	
103 ST,04/02/2020,1510,1101	
103 ST,04/03/2020,1648,1132	
103 ST,04/04/2020,1026,830	
103 ST,04/05/2020,836,708	
103 ST,04/06/2020,1623,1085	
103 ST,04/07/2020,1368,1014	
103 ST,04/08/2020,1371,1080	
103 ST,04/09/2020,1348,1056	
103 ST,04/10/2020,1403,1082	
103 ST,04/11/2020,937,736	
103 ST,04/12/2020,719,636	
103 ST,04/13/2020,1206,976	
103 ST,04/14/2020,1355,1114	
103 ST,04/15/2020,1394,1163	
103 ST,04/16/2020,1413,1143	
103 ST,04/17/2020,1457,1077	
103 ST,04/18/2020,903,824	
103 ST,04/19/2020,772,758	
103 ST,04/20/2020,1423,1007	
103 ST,04/21/2020,1379,1077	
103 ST,04/22/2020,1348,1115	
103 ST,04/23/2020,1376,1093	
103 ST,04/24/2020,1364,1128	
103 ST,04/25/2020,911,832	
103 ST,04/26/2020,676,708	
103 ST,04/27/2020,1361,1099	
103 ST,04/28/2020,1425,1190	
103 ST,04/29/2020,1325,1160	
103 ST,04/30/2020,1270,1110	
103 ST,05/01/2020,1426,1233	
103 ST,05/02/2020,980,1061	
103 ST,05/03/2020,807,851	
103 ST,05/04/2020,1489,1179	
103 ST,05/05/2020,1443,1245	
103 ST,05/06/2020,1538,1193	
103 ST,05/07/2020,1683,1232	
103 ST,05/08/2020,1568,1254	
103 ST,05/09/2020,1077,915	
103 ST,05/10/2020,897,791	
103 ST,05/11/2020,1616,1270	
103 ST,05/12/2020,1694,1304	
103 ST,05/13/2020,1413,1295	
103 ST,05/14/2020,1728,1262	
103 ST,05/15/2020,1825,1354	
103 ST,05/16/2020,1107,1047	
103 ST,05/17/2020,942,786	
103 ST,05/18/2020,1786,1308	
103 ST,05/19/2020,1809,1370	
103 ST,05/20/2020,1682,1290	
103 ST,05/21/2020,1818,1374	
103 ST,05/22/2020,1871,1402	
103 ST,05/23/2020,1063,949	
103 ST,05/24/2020,1023,961	
103 ST,05/25/2020,1204,1131	
103 ST,05/26/2020,1700,1391	
103 ST,05/27/2020,1869,1434	
103 ST,05/28/2020,1802,1373	
103 ST,05/29/2020,1769,1513	
103 ST,05/30/2020,1328,1063	
103 ST,05/31/2020,998,928	
103 ST,06/01/2020,1903,1533	
103 ST,06/02/2020,1871,1530	
103 ST,06/03/2020,1917,1437	
103 ST,06/04/2020,1902,1497	
103 ST,06/05/2020,1941,1490	
103 ST,06/06/2020,1363,1233	
103 ST,06/07/2020,1162,984	
103 ST,06/08/2020,2118,1667	
103 ST,06/09/2020,2250,1701	
103 ST,06/10/2020,2248,1840	
103 ST,06/11/2020,2135,1582	
103 ST,06/12/2020,2497,1918	
103 ST,06/13/2020,1519,1416	
103 ST,06/14/2020,1213,1148	
103 ST,06/15/2020,2120,1864	
103 ST,06/16/2020,2396,1965	
103 ST,06/17/2020,2323,1971	
103 ST,06/18/2020,2344,1910	
103 ST,06/19/2020,2574,2066	
103 ST,06/20/2020,1604,1445	
103 ST,06/21/2020,1291,1200	
103 ST,06/22/2020,2484,2151	
103 ST,06/23/2020,2701,2302	
103 ST,06/24/2020,2610,2257	
103 ST,06/25/2020,2623,2185	
103 ST,06/26/2020,2802,2282	
103 ST,06/27/2020,1702,1373	
103 ST,06/28/2020,1425,1368	
103 ST,06/29/2020,2559,2173	
103 ST,06/30/2020,2697,2316	
103 ST,07/01/2020,2545,2335	
103 ST,07/02/2020,2795,2395	
